Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2023-06-20 00:00:00+05:30,2.233333110809326,2.280850887298584,2.1858150959014893,2.233333110809326,142758.0,0.0,0.0
2023-06-21 00:00:00+05:30,2.233333110809326,2.280850887298584,2.1858150959014893,2.233333110809326,234339.0,0.0,0.0
2023-06-22 00:00:00+05:30,2.1858150959014893,2.280850887298584,2.1858150959014893,2.1858150959014893,237305.0,0.0,0.0
2023-06-23 00:00:00+05:30,2.233333110809326,2.233333110809326,2.090780019760132,2.1858150959014893,144510.0,0.0,0.0
2023-06-26 00:00:00+05:30,2.1858150959014893,2.233333110809326,2.1382970809936523,2.1382970809936523,157697.0,0.0,0.0
2023-06-27 00:00:00+05:30,2.1382970809936523,2.1858150959014893,2.090780019760132,2.1382970809936523,214206.0,0.0,0.0
2023-06-28 00:00:00+05:30,2.1382970809936523,2.1858150959014893,2.090780019760132,2.090780019760132,115959.0,0.0,0.0
2023-06-30 00:00:00+05:30,2.090780019760132,2.1858150959014893,2.090780019760132,2.1382970809936523,162115.0,0.0,0.0
2023-07-03 00:00:00+05:30,2.1382970809936523,2.1382970809936523,2.043262004852295,2.090780019760132,497068.0,0.0,0.0
2023-07-04 00:00:00+05:30,2.090780019760132,2.1382970809936523,2.043262004852295,2.090780019760132,152050.0,0.0,0.0
2023-07-05 00:00:00+05:30,2.043262004852295,2.090780019760132,2.043262004852295,2.043262004852295,271756.0,0.0,0.0
2023-07-06 00:00:00+05:30,2.043262004852295,2.090780019760132,1.995743989944458,2.043262004852295,197221.0,0.0,0.0
2023-07-07 00:00:00+05:30,2.090780019760132,2.1382970809936523,2.043262004852295,2.090780019760132,363231.0,0.0,0.0
2023-07-10 00:00:00+05:30,2.090780019760132,2.090780019760132,1.995743989944458,2.043262004852295,256617.0,0.0,0.0
2023-07-11 00:00:00+05:30,1.995743989944458,2.043262004852295,1.995743989944458,2.043262004852295,271187.0,0.0,0.0
2023-07-12 00:00:00+05:30,2.090780019760132,2.090780019760132,1.995743989944458,1.995743989944458,118855.0,0.0,0.0
2023-07-13 00:00:00+05:30,1.995743989944458,2.090780019760132,1.995743989944458,2.043262004852295,183488.0,0.0,0.0
2023-07-14 00:00:00+05:30,2.090780019760132,2.090780019760132,1.995743989944458,2.090780019760132,121245.0,0.0,0.0
2023-07-17 00:00:00+05:30,2.090780019760132,2.090780019760132,1.995743989944458,2.043262004852295,117530.0,0.0,0.0
2023-07-18 00:00:00+05:30,2.043262004852295,2.090780019760132,1.995743989944458,2.043262004852295,172798.0,0.0,0.0
2023-07-19 00:00:00+05:30,1.995743989944458,2.1382970809936523,1.995743989944458,2.1382970809936523,820767.0,0.0,0.0
2023-07-20 00:00:00+05:30,2.233333110809326,2.233333110809326,2.233333110809326,2.233333110809326,351238.0,0.0,0.0
2023-07-21 00:00:00+05:30,2.280850887298584,2.280850887298584,2.1382970809936523,2.233333110809326,358470.0,0.0,0.0
2023-07-24 00:00:00+05:30,2.299999952316284,2.4000000953674316,2.299999952316284,2.299999952316284,375818.0,0.0,0.0
2023-07-25 00:00:00+05:30,2.3499999046325684,2.4000000953674316,2.25,2.299999952316284,571232.0,0.0,0.0
2023-07-26 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.200000047683716,2.299999952316284,236452.0,0.0,0.0
2023-07-27 00:00:00+05:30,2.25,2.4000000953674316,2.200000047683716,2.299999952316284,326001.0,0.0,0.0
2023-07-28 00:00:00+05:30,2.299999952316284,2.4000000953674316,2.200000047683716,2.3499999046325684,751880.0,0.0,0.0
2023-07-31 00:00:00+05:30,2.3499999046325684,2.4000000953674316,2.299999952316284,2.299999952316284,234244.0,0.0,0.0
2023-08-01 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,224520.0,0.0,0.0
2023-08-02 00:00:00+05:30,2.299999952316284,2.299999952316284,2.25,2.299999952316284,184248.0,0.0,0.0
2023-08-03 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,215351.0,0.0,0.0
2023-08-04 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.25,2.25,121968.0,0.0,0.0
2023-08-07 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.200000047683716,2.299999952316284,447756.0,0.0,0.0
2023-08-08 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.200000047683716,2.299999952316284,379365.0,0.0,0.0
2023-08-09 00:00:00+05:30,2.3499999046325684,2.3499999046325684,2.200000047683716,2.299999952316284,369440.0,0.0,0.0
2023-08-10 00:00:00+05:30,2.299999952316284,2.299999952316284,2.200000047683716,2.25,134976.0,0.0,0.0
2023-08-11 00:00:00+05:30,2.25,2.3499999046325684,2.200000047683716,2.3499999046325684,538369.0,0.0,0.0
2023-08-14 00:00:00+05:30,2.3499999046325684,2.4000000953674316,2.25,2.299999952316284,459111.0,0.0,0.0
2023-08-16 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.25,2.3499999046325684,136802.0,0.0,0.0
2023-08-17 00:00:00+05:30,2.3499999046325684,2.3499999046325684,2.25,2.299999952316284,318403.0,0.0,0.0
2023-08-18 00:00:00+05:30,2.3499999046325684,2.3499999046325684,2.25,2.299999952316284,204012.0,0.0,0.0
2023-08-21 00:00:00+05:30,2.3499999046325684,2.3499999046325684,2.25,2.299999952316284,295074.0,0.0,0.0
2023-08-22 00:00:00+05:30,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,396373.0,0.0,0.0
2023-08-23 00:00:00+05:30,2.3499999046325684,2.3499999046325684,2.25,2.3499999046325684,183924.0,0.0,0.0
2023-08-24 00:00:00+05:30,2.299999952316284,2.299999952316284,2.25,2.25,240374.0,0.0,0.0
2023-08-25 00:00:00+05:30,2.25,2.299999952316284,2.200000047683716,2.25,169341.0,0.0,0.0
2023-08-28 00:00:00+05:30,2.299999952316284,2.299999952316284,2.1500000953674316,2.200000047683716,185927.0,0.0,0.0
2023-08-29 00:00:00+05:30,2.200000047683716,2.299999952316284,2.200000047683716,2.25,164560.0,0.0,0.0
2023-08-30 00:00:00+05:30,2.25,2.25,2.1500000953674316,2.25,264340.0,0.0,0.0
2023-08-31 00:00:00+05:30,2.200000047683716,2.25,2.1500000953674316,2.200000047683716,298299.0,0.0,0.0
2023-09-01 00:00:00+05:30,2.200000047683716,2.25,2.1500000953674316,2.200000047683716,112148.0,0.0,0.0
2023-09-04 00:00:00+05:30,2.200000047683716,2.25,2.0999999046325684,2.200000047683716,223101.0,0.0,0.0
2023-09-05 00:00:00+05:30,2.25,2.25,2.1500000953674316,2.200000047683716,253361.0,0.0,0.0
2023-09-06 00:00:00+05:30,2.200000047683716,2.200000047683716,2.0999999046325684,2.1500000953674316,188046.0,0.0,0.0
2023-09-07 00:00:00+05:30,2.049999952316284,2.1500000953674316,2.049999952316284,2.049999952316284,951733.0,0.0,0.0
2023-09-08 00:00:00+05:30,1.9500000476837158,2.0999999046325684,1.9500000476837158,2.049999952316284,22777604.0,0.0,0.0
2023-09-11 00:00:00+05:30,2.049999952316284,2.049999952316284,1.9500000476837158,2.0,15323569.0,0.0,0.0
2023-09-12 00:00:00+05:30,2.049999952316284,2.049999952316284,1.899999976158142,2.0,2062950.0,0.0,0.0
2023-09-13 00:00:00+05:30,2.049999952316284,2.049999952316284,1.899999976158142,1.899999976158142,2344250.0,0.0,0.0
2023-09-14 00:00:00+05:30,1.9500000476837158,1.9500000476837158,1.7999999523162842,1.7999999523162842,2659851.0,0.0,0.0
2023-09-15 00:00:00+05:30,1.850000023841858,1.899999976158142,1.7999999523162842,1.850000023841858,1302650.0,0.0,0.0
2023-09-18 00:00:00+05:30,1.850000023841858,1.9500000476837158,1.7999999523162842,1.850000023841858,2195916.0,0.0,0.0
2023-09-20 00:00:00+05:30,1.899999976158142,1.899999976158142,1.75,1.7999999523162842,1244131.0,0.0,0.0
2023-09-21 00:00:00+05:30,1.850000023841858,1.850000023841858,1.7000000476837158,1.75,1630587.0,0.0,0.0
2023-09-22 00:00:00+05:30,1.7999999523162842,1.7999999523162842,1.7000000476837158,1.75,466607.0,0.0,0.0
2023-09-25 00:00:00+05:30,1.7999999523162842,1.7999999523162842,1.7000000476837158,1.7000000476837158,429059.0,0.0,0.0
2023-09-26 00:00:00+05:30,1.649999976158142,1.75,1.649999976158142,1.7000000476837158,961002.0,0.0,0.0
2023-09-27 00:00:00+05:30,1.7000000476837158,1.7000000476837158,1.649999976158142,1.7000000476837158,464512.0,0.0,0.0
2023-09-28 00:00:00+05:30,1.649999976158142,1.7000000476837158,1.649999976158142,1.7000000476837158,396830.0,0.0,0.0
2023-09-29 00:00:00+05:30,1.7000000476837158,1.7999999523162842,1.649999976158142,1.75,997796.0,0.0,0.0
2023-10-03 00:00:00+05:30,1.7999999523162842,1.850000023841858,1.75,1.850000023841858,1183011.0,0.0,0.0
2023-10-04 00:00:00+05:30,1.850000023841858,2.200000047683716,1.7000000476837158,1.7999999523162842,15384182.0,0.0,0.0
2023-10-05 00:00:00+05:30,1.850000023841858,2.0999999046325684,1.7999999523162842,1.9500000476837158,7293013.0,0.0,0.0
2023-10-06 00:00:00+05:30,1.9500000476837158,2.1500000953674316,1.850000023841858,2.0,7865396.0,0.0,0.0
2023-10-09 00:00:00+05:30,1.9500000476837158,2.0999999046325684,1.850000023841858,1.899999976158142,5036073.0,0.0,0.0
2023-10-10 00:00:00+05:30,1.9500000476837158,2.1500000953674316,1.850000023841858,1.9500000476837158,15694518.0,0.0,0.0
2023-10-11 00:00:00+05:30,2.0,2.049999952316284,1.850000023841858,1.899999976158142,5599809.0,0.0,0.0
2023-10-12 00:00:00+05:30,1.9500000476837158,1.9500000476837158,1.7999999523162842,1.850000023841858,4932842.0,0.0,0.0
