Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.0000,,,,,,,0
2023-06-21,0.9950,,,,,,,0
2023-06-22,4.8319,,,,,,,0
2023-06-25,0.0000,,,,,,,0
2023-06-26,0.0000,,,,,,,0
2023-06-27,-3.8466,,,,,,,0
2023-06-29,-1.9803,,,,,,,0
2023-07-02,-1.0050,,,,,,,0
2023-07-03,2.9853,,,,,,,0
2023-07-04,0.9756,,,,,,,0
2023-07-05,0.0000,,,,,,,0
2023-07-06,1.9231,,,,,,,0
2023-07-09,-4.8790,,,,,,,0
2023-07-10,-4.0822,,,,,,,0
2023-07-11,0.0000,,,,,,,0
2023-07-12,-2.1053,,,,,,,0
2023-07-13,4.1673,,,,,,,0
2023-07-16,-3.1091,,,,,,,0
2023-07-17,0.0000,,,,,,,0
2023-07-18,-2.1277,,,,,,,0
2023-07-19,4.2111,,,,,,,0
2023-07-20,1.0257,,,,,,,0
2023-07-23,1.0152,,,,,,,0
2023-07-24,0.0000,,,,,,,0
2023-07-25,-1.0152,,,,,,,0
2023-07-26,-2.0619,,,,,,,0
2023-07-27,-4.2560,,,,,,,0
2023-07-30,2.1506,,,,,,,0
2023-07-31,-2.1506,,,,,,,0
2023-08-01,1.0811,,,,,,,0
2023-08-02,2.1277,,,,,,,0
2023-08-03,-2.1277,,,,,,,0
2023-08-06,-1.0811,,,,,,,0
2023-08-07,0.0000,,,,,,,0
2023-08-08,1.0811,,,,,,,0
2023-08-09,3.1749,,,,,,,0
2023-08-10,0.0000,,,,,,,0
2023-08-13,-4.2560,,,,,,,0
2023-08-15,3.2088,,,,,,,0
2023-08-16,1.0471,,,,,,,0
2023-08-17,3.0772,,,,,,,0
2023-08-20,-3.0772,,,,,,,0
2023-08-21,0.0000,,,,,,,0
2023-08-22,3.0772,,,,,,,0
2023-08-23,-1.0152,,,,,,,0
2023-08-24,-3.1091,,,,,,,0
2023-08-27,3.1091,,,,,,,0
2023-08-28,3.0153,,,,,,,0
2023-08-29,4.8319,,,,,,,0
2023-08-30,-2.8710,,,,,,,0
2023-08-31,0.0000,,,,,,,0
2023-09-03,-1.9608,,,,,,,0
2023-09-04,0.9852,,,,,,,0
2023-09-05,-2.9853,,,,,,,0
2023-09-06,2.0001,,,,,,,0
2023-09-07,-0.9950,,,,,,,0
2023-09-10,0.0000,,,,,,,0
2023-09-11,-1.0050,,,,,,,0
2023-09-12,2.0001,,,,,,,0
2023-09-13,-0.9950,,,,,,,0
2023-09-14,0.9950,2.4167,5.8322,0.0081,0.0000,0.4117,36.8189,0
2023-09-17,0.0000,2.4167,5.8322,0.0081,0.0000,0.0000,11.8557,0
2023-09-19,0.9852,2.4167,5.8322,0.0081,0.0000,0.4077,36.0825,0
2023-09-20,1.9418,2.4167,5.8322,0.0081,0.0000,0.8035,53.3137,0
2023-09-21,0.9569,2.4167,5.8322,0.0081,0.0000,0.3960,35.7143,0
2023-09-24,-0.9569,2.4167,5.8322,0.0081,0.0000,0.3960,35.7143,0
2023-09-25,4.6957,2.4167,5.8322,0.0081,0.0000,1.9431,95.4345,0
2023-09-26,4.4851,2.4167,5.8322,0.0081,0.0000,1.8559,94.8454,0
2023-09-27,4.2925,2.4167,5.8322,0.0081,0.0000,1.7762,92.3417,0
2023-09-28,4.1158,2.4167,5.8322,0.0081,0.0000,1.7031,89.9853,0
2023-10-02,3.9531,2.4167,5.8322,0.0081,0.0000,1.6358,86.8925,0
2023-10-03,-1.5625,2.4167,5.8322,0.0081,0.0000,0.6466,44.9190,0
2023-10-04,-4.8397,2.4167,5.8322,0.0081,0.0000,2.0026,96.6127,0
2023-10-05,1.6394,2.4167,5.8322,0.0081,0.0000,0.6784,47.2018,0
2023-10-08,-1.6394,2.4167,5.8322,0.0081,0.0000,0.6784,46.9809,0
2023-10-09,1.6394,2.4167,5.8322,0.0081,0.0000,0.6784,47.2018,0
2023-10-10,-5.0010,2.4167,5.8322,0.0081,0.0000,2.0694,96.9072,0
2023-10-11,0.0000,2.4167,5.8322,0.0081,0.0000,0.0000,11.8557,0
2023-10-12,-4.3675,2.4167,5.8322,0.0081,0.0000,1.8073,93.9617,0
2023-10-15,-3.6368,2.4167,5.8322,0.0081,0.0000,1.5049,81.1487,0
2023-10-16,0.9217,2.8602,1.8031,0.0714,0.6682,0.3222,32.1060,0
2023-10-17,-3.7388,2.8602,1.8031,0.0714,0.6682,1.3072,72.1649,0
2023-10-18,-2.8988,2.8602,1.8031,0.0714,0.6682,1.0135,60.8247,0
2023-10-19,-0.9852,2.8602,1.8031,0.0714,0.6682,0.3445,33.7261,0
2023-10-22,-5.0772,2.8602,1.8031,0.0714,0.6682,1.7751,92.1944,0
2023-10-24,4.0822,2.8602,1.8031,0.0714,0.6682,1.4272,77.7614,0
2023-10-25,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-10-26,3.9221,2.8602,1.8031,0.0714,0.6682,1.3713,75.4050,0
2023-10-29,3.7740,2.8602,1.8031,0.0714,0.6682,1.3195,72.7541,0
2023-10-30,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-10-31,-0.9302,2.8602,1.8031,0.0714,0.6682,0.3252,32.2533,0
2023-11-01,-1.8868,2.8602,1.8031,0.0714,0.6682,0.6597,46.0972,0
2023-11-02,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-11-05,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-11-06,-4.8790,2.8602,1.8031,0.0714,0.6682,1.7058,90.1325,0
2023-11-07,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-11-08,0.0000,2.8602,1.8031,0.0714,0.6682,0.0000,11.8557,0
2023-11-09,-5.1293,2.8602,1.8031,0.0714,0.6682,1.7933,92.7835,0
2023-11-12,8.0852,2.8602,1.8031,0.0714,0.6682,2.8268,99.7054,0
2023-11-14,4.7402,2.8602,1.8031,0.0714,0.6682,1.6573,88.3652,0
2023-11-15,3.6368,3.6941,2.7441,0.1147,0.5434,0.9845,60.0884,1
2023-11-16,4.3675,3.6941,2.7441,0.1147,0.5434,1.1823,67.0103,1
2023-11-19,4.1847,3.6941,2.7441,0.1147,0.5434,1.1328,65.8321,1
2023-11-20,3.2261,3.6941,2.7441,0.1147,0.5434,0.8733,55.2283,1
2023-11-21,-4.8790,3.6941,2.7441,0.1147,0.5434,1.3207,72.9013,1
2023-11-22,-0.8368,3.6941,2.7441,0.1147,0.5434,0.2265,28.5714,1
2023-11-23,3.3061,3.6941,2.7441,0.1147,0.5434,0.8950,56.5538,1
2023-11-27,3.9846,3.6941,2.7441,0.1147,0.5434,1.0786,63.7703,1
2023-11-28,4.5810,3.6941,2.7441,0.1147,0.5434,1.2401,68.9249,1
2023-11-29,-4.5810,3.6941,2.7441,0.1147,0.5434,1.2401,69.0722,1
2023-11-30,-2.3717,3.6941,2.7441,0.1147,0.5434,0.6420,44.6244,1
2023-12-03,-4.9190,3.6941,2.7441,0.1147,0.5434,1.3316,73.1959,1
2023-12-04,-3.4191,3.6941,2.7441,0.1147,0.5434,0.9256,58.0265,1
2023-12-05,-1.7544,3.6941,2.7441,0.1147,0.5434,0.4749,38.5862,1
2023-12-06,2.6202,3.6941,2.7441,0.1147,0.5434,0.7093,48.8954,1
2023-12-07,3.3902,3.6941,2.7441,0.1147,0.5434,0.9177,57.4374,1
2023-12-10,-2.5318,3.6941,2.7441,0.1147,0.5434,0.6854,47.7172,1
2023-12-11,-0.8584,3.6941,2.7441,0.1147,0.5434,0.2324,28.7187,1
2023-12-12,-1.7392,3.6941,2.7441,0.1147,0.5434,0.4708,38.4389,1
2023-12-13,-1.7700,3.6941,2.7441,0.1147,0.5434,0.4791,39.1753,1
2023-12-14,-3.6368,2.6405,1.7395,0.1250,0.6686,1.3773,75.8468,0
2023-12-17,4.5257,2.6405,1.7395,0.1250,0.6686,1.7139,90.5744,0
2023-12-18,0.8811,2.6405,1.7395,0.1250,0.6686,0.3337,32.9897,0
2023-12-19,4.2925,2.6405,1.7395,0.1250,0.6686,1.6256,86.3034,0
2023-12-20,-4.2925,2.6405,1.7395,0.1250,0.6686,1.6256,86.4507,0
2023-12-21,0.8734,2.6405,1.7395,0.1250,0.6686,0.3308,32.5479,0
2023-12-25,-1.7544,2.6405,1.7395,0.1250,0.6686,0.6644,46.3918,0
2023-12-26,4.3297,2.6405,1.7395,0.1250,0.6686,1.6397,87.1134,0
2023-12-27,-1.7094,2.6405,1.7395,0.1250,0.6686,0.6474,45.0663,0
2023-12-28,3.3902,2.6405,1.7395,0.1250,0.6686,1.2839,70.5449,0
2023-12-31,0.0000,2.6405,1.7395,0.1250,0.6686,0.0000,11.8557,0
2024-01-01,2.4693,2.6405,1.7395,0.1250,0.6686,0.9351,58.1738,0
2024-01-02,-5.0010,2.6405,1.7395,0.1250,0.6686,1.8940,94.9926,0
2024-01-03,-3.4786,2.6405,1.7395,0.1250,0.6686,1.3174,72.6068,0
2024-01-04,4.3297,2.6405,1.7395,0.1250,0.6686,1.6397,87.1134,0
2024-01-07,4.1500,2.6405,1.7395,0.1250,0.6686,1.5717,84.6834,0
2024-01-08,4.7628,2.6405,1.7395,0.1250,0.6686,1.8037,93.8144,0
2024-01-09,4.5462,2.6405,1.7395,0.1250,0.6686,1.7217,90.8689,0
2024-01-10,4.3485,2.6405,1.7395,0.1250,0.6686,1.6468,87.4816,0
2024-01-11,4.8452,2.6405,1.7395,0.1250,0.6686,1.8350,94.4035,0
2024-01-14,-4.1385,3.6601,1.0237,0.1038,0.7892,1.1307,65.5376,1
2024-01-15,-5.0552,3.6601,1.0237,0.1038,0.7892,1.3812,75.9941,1
2024-01-16,-0.7435,3.6601,1.0237,0.1038,0.7892,0.2031,27.8351,1
2024-01-17,-1.5038,3.6601,1.0237,0.1038,0.7892,0.4109,36.6716,1
2024-01-18,4.4452,3.6601,1.0237,0.1038,0.7892,1.2145,67.5994,1
2024-01-22,-6.7441,3.6601,1.0237,0.1038,0.7892,1.8426,94.6981,1
2024-01-23,-3.1499,3.6601,1.0237,0.1038,0.7892,0.8606,54.7865,1
2024-01-24,3.1499,3.6601,1.0237,0.1038,0.7892,0.8606,54.6392,1
2024-01-28,2.2990,3.6601,1.0237,0.1038,0.7892,0.6281,43.4462,1
2024-01-29,-1.5267,3.6601,1.0237,0.1038,0.7892,0.4171,37.2607,1
2024-01-30,4.5120,3.6601,1.0237,0.1038,0.7892,1.2328,68.4831,1
2024-01-31,2.1819,3.6601,1.0237,0.1038,0.7892,0.5961,42.8571,1
2024-02-01,1.4286,3.6601,1.0237,0.1038,0.7892,0.3903,35.4934,1
2024-02-04,-5.0920,3.6601,1.0237,0.1038,0.7892,1.3912,76.4359,1
2024-02-05,-3.8027,3.6601,1.0237,0.1038,0.7892,1.0390,62.0029,1
2024-02-06,3.8027,3.6601,1.0237,0.1038,0.7892,1.0390,62.1502,1
2024-02-07,-4.5810,3.6601,1.0237,0.1038,0.7892,1.2516,69.3667,1
2024-02-08,-3.9846,3.6601,1.0237,0.1038,0.7892,1.0887,64.3594,1
2024-02-11,-2.4693,3.6601,1.0237,0.1038,0.7892,0.6746,46.8336,1
2024-02-12,0.0000,3.6601,1.0237,0.1038,0.7892,0.0000,11.8557,1
2024-02-13,-5.1293,3.6782,0.0456,0.0000,1.0000,1.3945,76.5832,1
2024-02-14,4.2925,3.6782,0.0456,0.0000,1.0000,1.1670,66.4212,1
2024-02-15,4.1158,3.6782,0.0456,0.0000,1.0000,1.1190,65.3903,1
2024-02-18,4.7253,3.6782,0.0456,0.0000,1.0000,1.2847,70.6922,1
2024-02-19,-1.5504,3.6782,0.0456,0.0000,1.0000,0.4215,37.5552,1
2024-02-20,2.3167,3.6782,0.0456,0.0000,1.0000,0.6298,43.7408,1
2024-02-21,3.0077,3.6782,0.0456,0.0000,1.0000,0.8177,53.9028,1
2024-02-22,-4.5462,3.6782,0.0456,0.0000,1.0000,1.2360,68.6303,1
2024-02-25,1.5385,3.6782,0.0456,0.0000,1.0000,0.4183,37.4080,1
2024-02-26,1.5152,3.6782,0.0456,0.0000,1.0000,0.4119,36.9661,1
2024-02-27,-4.6162,3.6782,0.0456,0.0000,1.0000,1.2550,69.5140,1
2024-02-28,-4.8397,3.6782,0.0456,0.0000,1.0000,1.3158,72.3122,1
2024-02-29,-3.3617,3.6782,0.0456,0.0000,1.0000,0.9139,57.2901,1
2024-03-03,-6.1694,3.6782,0.0456,0.0000,1.0000,1.6773,88.9543,1
2024-03-04,-1.8349,3.6782,0.0456,0.0000,1.0000,0.4989,39.9116,1
2024-03-05,3.6368,3.6782,0.0456,0.0000,1.0000,0.9887,60.3829,1
2024-03-06,4.3675,3.6782,0.0456,0.0000,1.0000,1.1874,67.1576,1
2024-03-10,1.6950,3.6782,0.0456,0.0000,1.0000,0.4608,37.9971,1
2024-03-11,3.3061,3.6782,0.0456,0.0000,1.0000,0.8988,56.7010,1
2024-03-12,3.9846,3.6782,0.0456,0.0000,1.0000,1.0833,63.9175,1
2024-03-13,4.5810,3.8070,0.0459,0.0000,1.0000,1.2033,67.3049,1
2024-03-14,1.4815,3.8070,0.0459,0.0000,1.0000,0.3892,35.3461,1
2024-03-17,2.8988,3.8070,0.0459,0.0000,1.0000,0.7614,51.5464,1
2024-03-18,4.1964,3.8070,0.0459,0.0000,1.0000,1.1023,64.8012,1
2024-03-19,4.0274,3.8070,0.0459,0.0000,1.0000,1.0579,63.3284,1
2024-03-20,-4.7147,3.8070,0.0459,0.0000,1.0000,1.2384,68.7776,1
2024-03-21,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-03-25,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-03-26,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-03-27,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-03-31,-4.9480,3.8070,0.0459,0.0000,1.0000,1.2997,71.7231,1
2024-04-01,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-02,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-03,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-04,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-07,-5.2056,3.8070,0.0459,0.0000,1.0000,1.3674,75.1105,1
2024-04-08,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-09,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
2024-04-11,0.0000,3.8070,0.0459,0.0000,1.0000,0.0000,11.8557,1
